maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,season,moonrise_time_class,sunrise_time_class,moonset_time_class,sunset_time_class
0.5277777777777778,0.611111111111111,0,12.5,7,7,29,21,31,31,28,16,12,0.6530612244897959,0.0,1004,28,10,297,0.1702127659574468,0,2,0,3,0
0.5277777777777778,0.6666666666666666,0,11.9,6,8,74,24,41,41,34,14,47,0.5714285714285714,0.0,1002,33,10,168,0.2553191489361702,0,3,0,2,0
0.5,0.5277777777777777,0,8.7,7,1,46,12,27,27,27,12,1,0.3775510204081632,0.0,1011,24,10,68,0.14893617021276595,0,2,1,0,0
0.7222222222222222,0.8055555555555555,0,13.3,8,1,44,20,44,44,39,16,33,0.33673469387755095,0.0,992,38,10,225,0.23404255319148937,2,0,0,2,1
0.638888888888889,0.4166666666666667,0,12.7,7,8,10,-2,35,35,36,4,0,0.07142857142857142,0.0,1012,31,10,117,0.0851063829787234,1,2,0,3,0
0.11111111111111116,0.055555555555555566,0,8.7,4,1,31,0,9,11,9,23,0,0.4591836734693877,0.0,1016,9,10,305,0.23404255319148937,3,0,1,2,0
0.4444444444444444,0.4166666666666667,0,8.7,6,1,77,9,25,26,25,9,0,0.346938775510204,0.0,1012,20,10,141,0.10638297872340426,0,3,1,2,0
0.638888888888889,0.5555555555555555,0,11.6,8,7,2,6,28,28,30,10,11,0.21428571428571427,0.0,1010,29,10,331,0.19148936170212766,1,0,1,1,0
0.8333333333333334,0.7222222222222221,0,13.2,9,1,3,7,35,35,36,11,0,0.15306122448979592,0.0,999,32,10,348,0.19148936170212766,1,0,0,1,0
0.6944444444444445,0.7499999999999999,0,13.2,9,1,0,13,35,35,35,17,4,0.24489795918367344,0.0,1004,34,10,51,0.2553191489361702,1,0,0,1,0
0.4722222222222222,0.611111111111111,0,12.6,7,1,31,26,32,32,27,2,31,0.9387755102040816,0.0,1002,26,7,162,0.02127659574468085,0,2,0,3,0
0.861111111111111,0.9166666666666666,0,13.9,10,11,28,13,48,48,45,11,3,0.14285714285714285,0.0,1000,45,10,235,0.2127659574468085,2,2,0,0,1
0.4444444444444444,0.3055555555555555,0,11.6,6,7,96,7,28,28,30,8,0,0.23469387755102042,0.0,1017,26,10,312,0.14893617021276595,1,1,1,0,0
0.5555555555555556,0.6944444444444443,0,13.2,8,8,0,24,42,42,35,17,48,0.5408163265306122,0.0,994,34,10,69,0.2553191489361702,2,0,0,3,0
0.3055555555555556,0.25,0,8.7,5,5,31,2,20,20,20,31,0,0.2959183673469387,0.0,1014,19,10,288,0.3191489361702128,3,2,1,0,0
0.8333333333333334,0.8888888888888888,0,13.9,10,10,13,8,47,47,44,23,2,0.10204081632653061,0.0,992,44,10,304,0.425531914893617,2,0,0,1,1
0.861111111111111,0.861111111111111,0,13.3,10,1,58,4,34,34,36,22,1,0.12244897959183673,0.0,997,34,10,298,0.3191489361702128,1,0,0,2,0
0.7499999999999999,0.8888888888888888,0,13.3,9,1,9,17,41,41,39,7,18,0.26530612244897955,0.0,995,38,10,316,0.10638297872340426,2,2,0,3,1
0.7499999999999999,0.5277777777777777,0,11.6,8,8,75,6,38,38,38,4,1,0.13265306122448978,0.0,1006,34,10,214,0.0851063829787234,1,1,1,0,0
0.19444444444444442,0.1388888888888889,0,8.7,4,1,92,9,11,12,11,19,0,0.7857142857142856,0.0,1018,9,10,296,0.2127659574468085,3,1,1,0,0
0.5555555555555556,0.6388888888888888,0,12.8,7,1,77,19,30,30,28,25,11,0.5714285714285714,0.0,1001,28,10,100,0.2553191489361702,0,3,0,2,0
0.5833333333333334,0.6944444444444443,0,12.0,7,1,51,24,38,38,32,7,11,0.6428571428571428,0.0,997,30,10,116,0.1276595744680851,2,0,0,2,0
0.861111111111111,0.8888888888888888,0,13.3,10,1,31,-7,34,34,36,29,14,0.04081632653061225,0.0,996,35,10,253,0.2978723404255319,1,2,0,0,0
0.19444444444444442,0.2222222222222222,0,11.6,5,1,54,13,16,16,16,16,0,0.7857142857142856,0.0,1015,13,10,306,0.1702127659574468,3,2,1,0,0
0.36111111111111105,0.3333333333333333,0,8.7,5,6,84,4,25,25,26,15,0,0.22448979591836735,0.0,1013,23,10,323,0.19148936170212766,3,1,1,0,0
0.638888888888889,0.6944444444444443,0,13.3,7,9,67,23,44,44,37,27,35,0.43877551020408156,0.0,997,37,10,256,0.48936170212765956,2,1,0,0,1
0.861111111111111,0.7499999999999999,0,13.3,9,1,55,5,34,34,36,10,0,0.13265306122448978,0.0,998,31,10,141,0.14893617021276595,1,2,0,0,0
0.33333333333333337,0.3333333333333333,0,8.7,5,7,9,11,28,28,29,5,3,0.3061224489795918,0.0,1015,27,10,295,0.0851063829787234,3,2,1,3,0
0.7777777777777778,0.8333333333333333,0,13.9,9,8,67,19,41,41,38,12,13,0.31632653061224486,0.2,998,37,9,264,0.2127659574468085,2,3,0,2,1
0.611111111111111,0.7222222222222221,0,12.9,8,1,78,21,35,35,32,14,30,0.4999999999999999,0.0,1000,31,10,232,0.1702127659574468,2,1,0,0,0
0.638888888888889,0.6666666666666666,0,13.4,8,8,37,18,34,34,32,20,10,0.4183673469387755,0.0,1003,32,10,104,0.36170212765957444,2,0,0,2,0
0.5277777777777778,0.7222222222222221,0,11.0,7,6,45,28,39,39,30,7,58,0.8775510204081631,0.0,998,30,9,202,0.10638297872340426,2,2,0,0,1
0.6944444444444445,0.5833333333333333,0,12.7,8,8,43,6,32,32,34,21,2,0.16326530612244897,0.0,1005,32,10,21,0.2127659574468085,1,2,0,0,0
0.41666666666666663,0.3055555555555555,0,11.6,6,7,100,5,25,25,26,32,2,0.23469387755102042,0.0,1004,25,10,264,0.36170212765957444,1,1,1,0,0
0.3055555555555556,0.25,0,8.7,5,1,53,4,16,16,16,19,0,0.44897959183673464,0.0,1015,13,10,280,0.2553191489361702,3,0,1,2,0
0.4444444444444444,0.3888888888888889,0,8.7,6,6,43,10,26,26,27,15,0,0.33673469387755095,0.0,1008,23,10,315,0.14893617021276595,0,2,1,0,0
0.9444444444444443,0.861111111111111,0,13.4,10,10,68,8,48,48,45,11,0,0.09183673469387754,0.0,998,41,10,225,0.19148936170212766,2,1,0,0,0
0.4722222222222222,0.6388888888888888,0,9.4,6,7,29,24,38,38,32,13,70,0.6224489795918366,0.0,999,32,10,178,0.23404255319148937,2,2,0,3,0
0.3055555555555556,0.2222222222222222,0,11.6,5,1,76,5,16,16,16,20,4,0.44897959183673464,0.0,1015,15,10,339,0.2127659574468085,3,3,1,2,0
0.33333333333333337,0.3611111111111111,0,8.7,6,6,93,8,28,28,29,5,0,0.24489795918367344,0.0,1017,24,10,352,0.0851063829787234,0,1,1,0,0
0.41666666666666663,0.3888888888888889,0,8.7,6,7,26,10,33,33,34,2,0,0.21428571428571427,0.0,1012,30,10,144,0.0425531914893617,0,2,1,3,0
0.3055555555555556,0.3888888888888889,0,8.7,6,1,41,9,23,24,23,7,4,0.38775510204081626,0.0,1013,21,10,147,0.0851063829787234,3,0,1,1,0
0.5277777777777778,0.3888888888888889,0,11.6,6,8,67,0,30,30,32,19,0,0.11224489795918366,0.0,1007,30,10,290,0.2978723404255319,1,1,1,0,0
0.8333333333333334,0.8055555555555555,0,13.2,9,10,63,5,45,45,43,20,0,0.08163265306122448,0.0,1003,42,10,311,0.36170212765957444,1,0,0,2,0
0.5,0.6666666666666666,0,13.3,6,8,67,21,34,34,31,30,42,0.5408163265306122,0.0,1001,31,10,186,0.5531914893617021,2,1,0,0,1
0.8055555555555555,0.7777777777777777,0,13.4,9,1,53,13,38,38,38,12,0,0.2040816326530612,0.0,998,35,10,250,0.1702127659574468,2,2,0,0,0
0.41666666666666663,0.47222222222222227,0,8.7,6,1,76,19,25,25,23,15,49,0.7959183673469387,0.0,1014,22,10,334,0.19148936170212766,0,1,1,0,0
0.4722222222222222,0.49999999999999994,0,8.7,7,7,60,16,28,28,28,6,7,0.4999999999999999,0.0,1016,26,10,87,0.10638297872340426,0,1,1,0,0
0.38888888888888884,0.3611111111111111,0,8.7,6,5,66,4,23,24,23,12,0,0.2755102040816326,0.0,1016,20,10,289,0.2127659574468085,0,3,1,2,0
0.16666666666666663,0.08333333333333333,0,8.7,4,1,100,7,12,12,12,5,0,0.7040816326530611,0.0,1014,6,10,233,0.0425531914893617,3,1,1,2,0
0.4444444444444444,0.6666666666666666,0,13.2,6,7,5,25,33,33,28,16,59,0.836734693877551,0.0,997,28,10,92,0.2553191489361702,2,0,0,1,0
0.4722222222222222,0.47222222222222227,0,8.7,7,1,60,8,23,25,23,9,11,0.3775510204081632,0.0,1011,22,10,19,0.10638297872340426,0,1,1,0,0
0.4444444444444444,0.4444444444444445,0,8.7,6,7,57,7,31,31,33,7,1,0.18367346938775508,0.0,1015,29,10,313,0.1276595744680851,0,0,1,2,0
0.8055555555555555,0.861111111111111,0,13.4,9,10,86,6,42,42,41,25,0,0.10204081632653061,0.0,996,41,10,110,0.3829787234042553,1,1,0,0,0
0.5277777777777778,0.6666666666666666,0,8.7,7,8,31,23,40,40,34,11,35,0.5408163265306122,0.0,1005,33,10,79,0.2127659574468085,0,2,1,3,0
0.5,0.6944444444444443,0,13.7,7,1,0,25,35,35,29,12,57,0.7857142857142856,0.1,996,29,10,167,0.19148936170212766,2,2,0,3,1
0.638888888888889,0.5833333333333333,0,11.6,8,1,85,4,29,29,31,3,0,0.16326530612244897,0.0,1004,26,10,145,0.0425531914893617,1,1,1,0,0
0.5833333333333334,0.7222222222222221,0,11.9,7,1,54,25,36,36,30,21,37,0.7448979591836734,0.1,997,30,10,74,0.2765957446808511,0,1,0,0,0
0.638888888888889,0.7777777777777777,0,13.8,7,9,34,23,42,42,36,22,44,0.44897959183673464,0.0,993,36,10,68,0.3829787234042553,2,2,0,0,1
0.2777777777777778,0.16666666666666669,0,8.7,5,1,73,8,16,16,16,10,0,0.5918367346938774,0.0,1012,10,10,62,0.10638297872340426,3,3,1,2,0
0.7777777777777778,0.7777777777777777,0,13.1,9,9,54,1,37,37,38,23,24,0.08163265306122448,0.0,998,38,10,299,0.2978723404255319,1,0,0,2,0
0.7499999999999999,0.7777777777777777,0,13.9,9,10,98,15,44,44,42,14,16,0.19387755102040816,0.0,999,41,10,322,0.2553191489361702,2,1,0,0,1
0.611111111111111,0.611111111111111,0,8.7,8,9,75,14,39,39,38,6,5,0.22448979591836735,0.0,1010,36,10,237,0.1276595744680851,0,3,1,2,0
0.7777777777777778,0.8888888888888888,0,13.9,9,1,0,16,42,42,41,8,23,0.21428571428571427,0.0,999,40,10,289,0.1276595744680851,2,0,0,1,1
0.38888888888888884,0.4166666666666667,0,7.2,6,1,76,11,26,26,25,12,7,0.39795918367346933,0.0,1013,22,10,44,0.1702127659574468,0,1,1,0,0
0.5833333333333334,0.7499999999999999,0,12.1,8,1,60,25,38,38,31,12,22,0.683673469387755,0.0,999,31,10,213,0.2127659574468085,2,1,0,0,1
0.7222222222222222,0.611111111111111,0,12.7,8,9,51,3,39,39,40,23,0,0.08163265306122448,0.0,1002,39,10,284,0.3829787234042553,1,2,0,0,0
0.38888888888888884,0.3888888888888889,0,8.7,6,1,31,10,21,21,21,23,0,0.510204081632653,0.0,1009,18,10,285,0.2765957446808511,0,0,1,2,0
0.5,0.5277777777777777,0,8.7,7,7,54,11,28,28,29,14,4,0.32653061224489793,0.0,1011,27,10,89,0.1702127659574468,0,1,1,0,0
0.8333333333333334,0.7222222222222221,0,13.1,9,8,81,19,39,39,36,15,2,0.3571428571428571,0.0,1008,34,10,82,0.2765957446808511,1,3,0,2,0
0.16666666666666663,0.2777777777777778,0,5.8,4,1,100,13,12,14,12,32,18,0.9489795918367346,0.1,1011,13,9,119,0.36170212765957444,3,1,1,0,0
0.6666666666666666,0.6388888888888888,0,13.1,8,1,76,1,29,29,31,16,0,0.12244897959183673,0.0,1002,28,10,27,0.23404255319148937,1,1,0,0,0
0.8333333333333334,0.861111111111111,0,13.0,10,9,50,13,37,37,37,10,0,0.22448979591836735,0.0,1005,37,10,186,0.1702127659574468,1,0,0,2,0
0.8055555555555555,0.7499999999999999,0,12.9,9,1,26,-7,28,28,30,51,0,0.07142857142857142,0.0,1000,30,10,279,0.5106382978723404,1,0,0,2,0
0.5555555555555556,0.5555555555555555,0,8.7,7,1,51,14,26,26,26,8,7,0.4897959183673469,0.0,1010,23,10,132,0.10638297872340426,0,1,1,0,0
0.5833333333333334,0.7499999999999999,0,11.0,8,8,83,24,43,43,36,26,83,0.510204081632653,0.5,994,35,10,91,0.3191489361702128,2,3,0,2,1
0.4722222222222222,0.49999999999999994,0,8.7,7,7,60,15,28,28,27,12,5,0.4693877551020408,0.0,1011,26,10,320,0.1276595744680851,0,1,1,0,0
0.5277777777777778,0.6944444444444443,0,12.1,8,8,43,25,37,37,31,17,42,0.7040816326530611,0.0,996,30,10,179,0.23404255319148937,2,2,0,0,1
0.2777777777777778,0.3055555555555555,0,8.7,5,6,96,13,25,25,24,4,15,0.4999999999999999,0.0,1020,23,10,224,0.0851063829787234,3,1,1,2,0
0.6666666666666666,0.6944444444444443,0,12.8,8,7,0,10,32,32,34,12,17,0.22448979591836735,0.1,1008,33,9,188,0.2127659574468085,1,0,0,1,0
0.5277777777777778,0.5555555555555555,0,8.7,7,1,53,11,27,27,28,23,0,0.33673469387755095,0.0,1008,26,10,282,0.23404255319148937,0,0,1,2,0
0.5,0.5277777777777777,0,8.7,7,1,30,17,25,25,23,27,4,0.673469387755102,0.0,1004,22,10,284,0.2765957446808511,0,2,1,3,0
0.6944444444444445,0.861111111111111,0,13.9,9,1,9,22,39,39,34,21,27,0.4795918367346938,0.0,994,34,10,97,0.3404255319148936,2,2,0,3,1
0.5833333333333334,0.6666666666666666,0,8.7,8,1,84,20,33,33,31,6,5,0.5306122448979591,0.0,1006,28,10,34,0.0851063829787234,0,3,1,2,0
0.6666666666666666,0.6388888888888888,0,13.0,8,1,54,-1,32,32,34,5,0,0.09183673469387754,0.0,1005,29,10,295,0.0851063829787234,1,2,0,0,0
0.6666666666666666,0.5833333333333333,0,12.7,8,1,100,7,26,26,27,9,14,0.2755102040816326,0.0,1004,25,10,214,0.0851063829787234,1,1,0,0,0
0.5,0.47222222222222227,0,11.6,7,1,96,12,25,25,24,15,6,0.4591836734693877,0.0,1009,22,10,339,0.14893617021276595,1,1,1,0,0
0.5555555555555556,0.6666666666666666,0,13.9,8,1,0,25,33,33,28,5,24,0.836734693877551,0.0,997,27,10,258,0.0851063829787234,2,0,0,3,1
0.2777777777777778,0.25,0,11.6,5,6,69,13,23,25,23,16,0,0.5408163265306122,0.0,1014,21,10,292,0.23404255319148937,3,1,1,0,0
0.2777777777777778,0.2222222222222222,0,8.7,5,7,43,7,26,26,27,18,0,0.26530612244897955,0.0,1013,25,10,274,0.3404255319148936,3,2,1,0,0
0.5833333333333334,0.47222222222222227,0,12.7,7,9,3,3,42,42,41,3,0,0.08163265306122448,0.0,1012,36,10,10,0.06382978723404255,1,0,0,3,0
0.5277777777777778,0.6388888888888888,0,12.8,7,8,37,25,43,43,34,11,35,0.5816326530612245,0.0,1001,34,10,75,0.2127659574468085,0,0,0,2,0
0.36111111111111105,0.3333333333333333,0,8.7,6,5,81,5,23,24,23,12,0,0.2959183673469387,0.0,1015,20,10,287,0.2127659574468085,0,1,1,0,0
0.9999999999999999,0.9444444444444443,0,13.9,10,10,59,18,45,45,41,13,0,0.2551020408163265,0.0,995,41,10,154,0.2127659574468085,2,1,0,0,1
0.33333333333333337,0.2777777777777778,0,8.7,5,1,69,5,20,20,20,9,0,0.36734693877551017,0.0,1013,15,10,123,0.0851063829787234,0,3,1,2,0
0.4444444444444444,0.5833333333333333,0,12.8,7,6,95,10,29,29,30,9,48,0.2755102040816326,0.0,1008,29,10,121,0.1702127659574468,1,1,0,0,0
0.33333333333333337,0.2777777777777778,0,8.7,5,6,69,5,26,26,26,8,0,0.2551020408163265,0.0,1011,22,10,79,0.0851063829787234,0,3,1,2,0
0.2222222222222222,0.3333333333333333,0,8.7,5,1,5,12,16,16,16,31,41,0.7551020408163265,0.0,1016,16,10,139,0.3404255319148936,3,0,1,1,0
0.38888888888888884,0.3888888888888889,0,8.7,6,6,58,14,25,26,25,16,0,0.510204081632653,0.0,1011,21,10,308,0.1702127659574468,0,3,1,2,0
0.33333333333333337,0.3333333333333333,0,8.7,6,6,51,7,28,28,29,6,0,0.24489795918367344,0.0,1016,25,10,277,0.10638297872340426,0,2,1,0,0
0.5833333333333334,0.6666666666666666,0,12.7,8,1,51,22,31,31,28,18,20,0.683673469387755,0.0,1004,27,10,296,0.19148936170212766,0,2,0,0,0
0.5277777777777778,0.49999999999999994,0,11.6,7,1,63,10,25,25,23,18,11,0.4285714285714285,0.0,1008,22,10,291,0.19148936170212766,1,0,1,2,0
0.5277777777777778,0.5555555555555555,0,8.7,7,1,45,11,26,26,26,19,0,0.3775510204081632,0.0,1008,23,10,261,0.23404255319148937,0,0,1,1,0
0.8333333333333334,0.7222222222222221,0,13.9,9,1,60,5,29,29,32,6,8,0.17346938775510204,0.0,998,29,10,271,0.06382978723404255,2,0,0,2,1
0.33333333333333337,0.3333333333333333,0,8.7,5,6,43,8,24,24,24,19,0,0.346938775510204,0.0,1010,21,10,310,0.2127659574468085,3,2,1,0,0
0.38888888888888884,0.611111111111111,0,8.7,7,6,62,22,29,29,27,21,88,0.7244897959183673,0.0,995,27,10,12,0.3191489361702128,2,0,0,2,1
0.5833333333333334,0.6388888888888888,0,8.7,8,1,79,22,36,36,32,5,0,0.5714285714285714,0.0,1005,26,10,215,0.0851063829787234,0,1,1,0,0
0.888888888888889,0.6944444444444443,0,13.9,9,1,0,4,37,37,38,16,0,0.10204081632653061,0.0,994,35,10,322,0.1702127659574468,2,0,0,1,1
0.5555555555555556,0.6388888888888888,0,12.0,8,1,77,25,31,31,27,6,52,0.9183673469387754,0.0,997,26,10,81,0.0851063829787234,2,3,0,2,0
0.6666666666666666,0.6388888888888888,0,12.9,8,1,0,15,30,30,30,10,4,0.38775510204081626,0.0,1002,27,10,256,0.14893617021276595,1,0,0,1,0
0.7777777777777778,0.8333333333333333,0,13.2,9,9,53,8,38,38,38,23,24,0.14285714285714285,0.0,1000,38,10,251,0.40425531914893614,1,2,0,0,0
0.7222222222222222,0.6944444444444443,0,12.9,8,9,94,5,38,38,38,19,6,0.12244897959183673,0.0,1001,37,10,216,0.2978723404255319,1,1,0,0,0
0.8055555555555555,0.9166666666666666,0,13.3,10,10,67,13,41,41,40,6,8,0.18367346938775508,0.0,1002,40,10,147,0.10638297872340426,1,0,0,2,0
